"","X","family","father","mother","sex","height","nkids"
"674",674,"156",68,60,"M",67.5,4
"675",675,"156",68,60,"M",67,4
"676",676,"156",68,60,"M",66.5,4
"677",677,"156",68,60,"F",60,4
"678",678,"157",68.5,59,"M",69,1
"679",679,"158",68,59,"M",68,10
"680",680,"158",68,59,"M",65,10
"681",681,"158",68,59,"M",64.7,10
"682",682,"158",68,59,"M",64,10
"683",683,"158",68,59,"M",64,10
"684",684,"158",68,59,"M",63,10
"685",685,"158",68,59,"F",65,10
"686",686,"158",68,59,"F",65,10
"687",687,"158",68,59,"F",62,10
"688",688,"158",68,59,"F",61,10
"689",689,"159",67,66.2,"M",72.7,5
"690",690,"159",67,66.2,"M",72.7,5
"691",691,"159",67,66.2,"M",71.5,5
"692",692,"159",67,66.2,"F",65.5,5
"693",693,"159",67,66.2,"F",63.5,5
"694",694,"160",67,66.5,"M",71,1
"695",695,"162",67,65,"M",69.7,6
"696",696,"162",67,65,"M",67.5,6
"697",697,"162",67,65,"F",65.5,6
"698",698,"162",67,65,"F",65,6
"699",699,"162",67,65,"F",64.5,6
"700",700,"162",67,65,"F",63.5,6
"701",701,"163",67,65.5,"M",70,5
"702",702,"163",67,65.5,"M",69,5
"703",703,"163",67,65.5,"F",65.5,5
"704",704,"163",67,65.5,"F",65.5,5
"705",705,"163",67,65.5,"F",63,5
"706",706,"164",67,65.5,"M",70,4
"707",707,"164",67,65.5,"M",67.7,4
"708",708,"164",67,65.5,"F",63,4
"709",709,"164",67,65.5,"F",60,4
"710",710,"165",67,65,"M",65,3
"711",711,"165",67,65,"F",62,3
"712",712,"165",67,65,"F",62,3
"713",713,"166",67.5,65,"M",71,11
"714",714,"166",67.5,65,"M",69,11
"715",715,"166",67.5,65,"F",64,11
"716",716,"166",67.5,65,"F",64,11
"717",717,"166",67.5,65,"F",63,11
"718",718,"166",67.5,65,"F",63,11
"719",719,"166",67.5,65,"F",63,11
"720",720,"166",67.5,65,"F",63,11
"721",721,"166",67.5,65,"F",63,11
"722",722,"166",67.5,65,"F",62.5,11
"723",723,"166",67.5,65,"F",62,11
"724",724,"167",67,64,"M",71.5,4
"725",725,"167",67,64,"M",70,4
"726",726,"167",67,64,"M",67,4
"727",727,"167",67,64,"M",67,4
"728",728,"168",67,63.5,"M",71,8
"729",729,"168",67,63.5,"M",70.2,8
"730",730,"168",67,63.5,"M",69.2,8
"731",731,"168",67,63.5,"M",68.5,8
"732",732,"168",67,63.5,"M",68,8
"733",733,"168",67,63.5,"M",67,8
"734",734,"168",67,63.5,"M",65.5,8
"735",735,"168",67,63.5,"F",63.5,8
"736",736,"169",67,63,"M",69,3
"737",737,"169",67,63,"M",68,3
"738",738,"169",67,63,"F",63,3
"739",739,"170",67.5,62,"M",70,5
"740",740,"170",67.5,62,"M",69.5,5
"741",741,"170",67.5,62,"M",69,5
"742",742,"170",67.5,62,"M",68.5,5
"743",743,"170",67.5,62,"F",66,5
"744",744,"171",67,61,"M",67,1
"745",745,"172",66,67,"M",70.5,8
"746",746,"172",66,67,"M",70.5,8
"747",747,"172",66,67,"M",67,8
"748",748,"172",66,67,"M",66,8
"749",749,"172",66,67,"M",66,8
"750",750,"172",66,67,"F",62,8
"751",751,"172",66,67,"F",62,8
"752",752,"172",66,67,"F",61.5,8
"753",753,"173",66,67,"M",72,9
"754",754,"173",66,67,"M",65,9
"755",755,"173",66,67,"M",65,9
"756",756,"173",66,67,"F",67,9
"757",757,"173",66,67,"F",64,9
"758",758,"173",66,67,"F",64,9
"759",759,"173",66,67,"F",62,9
"760",760,"173",66,67,"F",60,9
"761",761,"173",66,67,"F",60,9
"762",762,"174",66,66,"M",66,5
"763",763,"174",66,66,"M",65,5
"764",764,"174",66,66,"F",67,5
"765",765,"174",66,66,"F",66.5,5
"766",766,"174",66,66,"F",65.5,5
"767",767,"175",66,66,"M",72,6
"768",768,"175",66,66,"M",68,6
"769",769,"175",66,66,"F",66,6
"770",770,"175",66,66,"F",65,6
"771",771,"175",66,66,"F",62,6
"772",772,"175",66,66,"F",61,6
"773",773,"176",66.5,65,"M",68.7,8
"774",774,"176",66.5,65,"M",68.5,8
"775",775,"176",66.5,65,"M",66.5,8
"776",776,"176",66.5,65,"M",64.5,8
"777",777,"176",66.5,65,"F",62.5,8
"778",778,"176",66.5,65,"F",60.5,8
"779",779,"176",66.5,65,"F",60.5,8
"780",780,"176",66.5,65,"F",57.5,8
"781",781,"177",66,65.5,"M",72,5
"782",782,"177",66,65.5,"M",71,5
"783",783,"177",66,65.5,"M",67,5
"784",784,"177",66,65.5,"F",66,5
"785",785,"177",66,65.5,"F",65,5
"786",786,"178",66,63,"M",70,1
"787",787,"179",66,63.5,"F",64.5,2
"788",788,"179",66,63.5,"F",62,2
"789",789,"180",66.5,63,"M",67.2,6
"790",790,"180",66.5,63,"M",67,6
"791",791,"180",66.5,63,"M",65,6
"792",792,"180",66.5,63,"F",65,6
"793",793,"180",66.5,63,"F",65,6
"794",794,"180",66.5,63,"F",63,6
"795",795,"181",66.5,62.5,"M",70,7
"796",796,"181",66.5,62.5,"M",68,7
"797",797,"181",66.5,62.5,"F",63.5,7
"798",798,"181",66.5,62.5,"F",62.5,7
"799",799,"181",66.5,62.5,"F",62.5,7
"800",800,"181",66.5,62.5,"F",62.5,7
"801",801,"181",66.5,62.5,"F",62.5,7
"802",802,"182",66,61.5,"M",70,1
"803",803,"183",66,60,"M",68,4
"804",804,"183",66,60,"M",67,4
"805",805,"183",66,60,"M",65,4
"806",806,"183",66,60,"F",60,4
"807",807,"184",66,60,"M",65,1
"808",808,"185",66,59,"M",68,15
"809",809,"185",66,59,"M",67,15
"810",810,"185",66,59,"M",66.5,15
"811",811,"185",66,59,"M",66,15
"812",812,"185",66,59,"M",65.7,15
"813",813,"185",66,59,"M",65.5,15
"814",814,"185",66,59,"M",65,15
"815",815,"185",66,59,"F",65,15
"816",816,"185",66,59,"F",64,15
"817",817,"185",66,59,"F",63,15
"818",818,"185",66,59,"F",62,15
"819",819,"185",66,59,"F",61,15
"820",820,"185",66,59,"F",60,15
"821",821,"185",66,59,"F",58,15
"822",822,"185",66,59,"F",57,15
"823",823,"186",65,67,"M",66.5,4
"824",824,"186",65,67,"M",66,4
"825",825,"186",65,67,"M",66,4
"826",826,"186",65,67,"F",65,4
"827",827,"187",65,67,"F",63,1
"828",828,"188",65,66,"M",63,4
"829",829,"188",65,66,"F",63,4
"830",830,"188",65,66,"F",63,4
"831",831,"188",65,66,"F",60,4
"832",832,"190",65,65,"M",69,9
"833",833,"190",65,65,"M",68,9
"834",834,"190",65,65,"M",68,9
"835",835,"190",65,65,"F",65,9
"836",836,"190",65,65,"F",65,9
"837",837,"190",65,65,"F",62,9
"838",838,"190",65,65,"F",62,9
"839",839,"190",65,65,"F",61,9
"840",840,"190",65,65,"F",59,9
"841",841,"191",65,65.5,"M",70.7,2
"842",842,"191",65,65.5,"F",65.5,2
"843",843,"192",65,65,"M",69.2,6
"844",844,"192",65,65,"M",69,6
"845",845,"192",65,65,"M",68,6
"846",846,"192",65,65,"M",67.7,6
"847",847,"192",65,65,"F",64.5,6
"848",848,"192",65,65,"F",60.5,6
"849",849,"193",65,64,"M",67,6
"850",850,"193",65,64,"M",67,6
"851",851,"193",65,64,"F",64,6
"852",852,"193",65,64,"F",64,6
"853",853,"193",65,64,"F",62.5,6
"854",854,"193",65,64,"F",60.5,6
"855",855,"194",65,63,"M",70,2
"856",856,"194",65,63,"F",63,2
"857",857,"195",65,63,"M",66,3
"858",858,"195",65,63,"M",66,3
"859",859,"195",65,63,"F",63,3
"860",860,"196",65.5,63,"M",71,4
"861",861,"196",65.5,63,"M",71,4
"862",862,"196",65.5,63,"M",69,4
"863",863,"196",65.5,63,"F",63.5,4
"864",864,"197",65.5,60,"M",68,5
"865",865,"197",65.5,60,"M",68,5
"866",866,"197",65.5,60,"M",67,5
"867",867,"197",65.5,60,"M",67,5
"868",868,"197",65.5,60,"F",62,5
"869",869,"198",64,64,"M",71.5,7
"870",870,"198",64,64,"M",68,7
"871",871,"198",64,64,"F",65.5,7
"872",872,"198",64,64,"F",64,7
"873",873,"198",64,64,"F",62,7
"874",874,"198",64,64,"F",62,7
"875",875,"198",64,64,"F",61,7
"876",876,"199",64,64,"M",70.5,7
"877",877,"199",64,64,"M",68,7
"878",878,"199",64,64,"F",67,7
"879",879,"199",64,64,"F",65,7
"880",880,"199",64,64,"F",64,7
"881",881,"199",64,64,"F",64,7
"882",882,"199",64,64,"F",60,7
"883",883,"200",64,63,"M",64.5,1
"884",884,"201",64,60,"M",66,2
"885",885,"201",64,60,"F",60,2
"886",886,"203",62,66,"M",64,3
"887",887,"203",62,66,"F",62,3
"888",888,"203",62,66,"F",61,3
"889",889,"204",62.5,63,"M",66.5,2
"890",890,"204",62.5,63,"F",57,2
"891",891,"136A",68.5,65,"M",72,8
"892",892,"136A",68.5,65,"M",70.5,8
"893",893,"136A",68.5,65,"M",68.7,8
"894",894,"136A",68.5,65,"M",68.5,8
"895",895,"136A",68.5,65,"M",67.7,8
"896",896,"136A",68.5,65,"F",64,8
"897",897,"136A",68.5,65,"F",63.5,8
"898",898,"136A",68.5,65,"F",63,8
